28,214,1,1,199,2019-04-10 00:18:33.715116
21,242,1,1,199,2019-04-10 00:19:48.452385
39,231,1,1,200,2019-04-10 00:20:57.549099
40,197,1,1,200,2019-04-10 00:22:12.853030
34,232,1,1,200,2019-04-10 00:23:34.606498
49,168,1,1,200,2019-04-10 00:24:45.911702
49,230,1,1,200,2019-04-10 00:25:54.188044
32,231,1,1,183,2019-04-10 00:27:01.096087
50,192,1,1,191,2019-04-10 00:28:05.590716
34,165,1,1,200,2019-04-10 00:29:23.545027
37,202,1,1,199,2019-04-10 00:30:33.790981
47,239,1,1,143,2019-04-10 00:31:39.188420
34,189,1,1,200,2019-04-10 00:32:46.902354
45,192,1,1,159,2019-04-10 00:34:02.091758
36,262,1,1,200,2019-04-10 00:35:09.053987
36,213,1,1,183,2019-04-10 00:36:20.023872
33,165,1,1,151,2019-04-10 00:37:38.155477
29,234,1,1,200,2019-04-10 00:38:55.143858
37,221,1,1,200,2019-04-10 00:40:01.427338
42,220,1,1,200,2019-04-10 00:41:07.478919
51,189,1,1,199,2019-04-10 00:42:12.096893
49,195,1,1,200,2019-04-10 00:43:21.763674
32,217,1,1,199,2019-04-10 00:44:29.434057
22,226,1,1,200,2019-04-10 00:45:35.515135
49,200,1,1,200,2019-04-10 00:46:42.644206
36,212,1,1,200,2019-04-10 00:47:53.766064
43,228,1,1,183,2019-04-10 00:48:59.415039
44,208,1,1,191,2019-04-10 00:50:11.365420
27,231,1,1,200,2019-04-10 00:51:26.342209
48,188,1,1,199,2019-04-10 00:52:42.839757
46,201,1,1,200,2019-04-10 00:53:51.961908
34,237,1,1,200,2019-04-10 00:54:58.419036
36,230,1,1,200,2019-04-10 00:56:04.707103
38,238,1,1,200,2019-04-10 00:57:20.274647
33,230,1,1,199,2019-04-10 00:58:24.279880
46,206,1,1,200,2019-04-10 00:59:34.677470
45,249,1,1,200,2019-04-10 01:00:51.328679
27,233,1,1,143,2019-04-10 01:02:08.016520
40,218,1,1,200,2019-04-10 01:03:13.921229
27,241,1,1,200,2019-04-10 01:04:29.833909
37,194,1,1,200,2019-04-10 01:05:49.780593
31,215,1,1,200,2019-04-10 01:06:55.398369
39,235,1,1,200,2019-04-10 01:08:00.039374
40,189,1,1,200,2019-04-10 01:09:08.451530
25,261,1,1,200,2019-04-10 01:10:12.843781
46,237,1,1,200,2019-04-10 01:11:20.603901
30,239,1,1,135,2019-04-10 01:12:27.870032
48,198,1,1,200,2019-04-10 01:13:41.736224
38,217,1,1,191,2019-04-10 01:14:57.056349
42,189,1,1,183,2019-04-10 01:16:05.735432
30,228,1,1,200,2019-04-10 01:17:12.440233
38,218,1,1,200,2019-04-10 01:18:19.857702
43,241,1,1,167,2019-04-10 01:19:27.749497
38,232,1,1,200,2019-04-10 01:20:49.565250
27,203,1,1,191,2019-04-10 01:21:56.393308
18,198,1,1,200,2019-04-10 01:23:10.071906
41,230,1,1,200,2019-04-10 01:24:23.216582
20,215,1,1,200,2019-04-10 01:25:37.004447
35,188,1,1,200,2019-04-10 01:26:46.499742
42,193,1,1,200,2019-04-10 01:27:53.801947
34,207,1,1,159,2019-04-10 01:29:01.069465
30,241,1,1,200,2019-04-10 01:30:10.451386
34,214,1,1,191,2019-04-10 01:31:18.339906
