0,0,0,0,15,2019-04-24 19:13:44.712771
7,32,191,11,2019-04-24 19:14:29.735911
8,33,127,11,2019-04-24 19:15:15.017119
4,25,167,11,2019-04-24 19:15:56.500965
6,32,159,11,2019-04-24 19:16:42.408390
12,33,191,11,2019-04-24 19:17:29.076732
10,32,159,11,2019-04-24 19:18:12.946111
11,36,175,11,2019-04-24 19:18:53.553534
11,34,119,11,2019-04-24 19:19:31.573327
5,37,135,11,2019-04-24 19:20:16.893147
13,36,175,11,2019-04-24 19:21:03.294972
11,31,143,11,2019-04-24 19:21:42.792871
18,43,151,11,2019-04-24 19:22:28.735448
8,29,103,11,2019-04-24 19:23:15.362209
5,27,95,10,2019-04-24 19:23:54.844259
14,38,127,11,2019-04-24 19:24:33.772003
12,31,143,11,2019-04-24 19:25:08.980550
12,41,103,11,2019-04-24 19:25:44.089949
21,43,167,11,2019-04-24 19:26:22.453933
9,34,135,11,2019-04-24 19:27:00.459305
11,45,175,11,2019-04-24 19:27:49.219238
12,35,159,11,2019-04-24 19:28:34.897405
4,35,143,10,2019-04-24 19:29:19.399981
5,30,127,11,2019-04-24 19:30:01.935812
6,34,119,8,2019-04-24 19:30:43.199618
9,32,135,9,2019-04-24 19:31:25.755851
16,45,127,11,2019-04-24 19:32:08.171054
8,32,119,9,2019-04-24 19:32:45.085673
8,42,191,11,2019-04-24 19:33:32.355792
7,29,111,11,2019-04-24 19:34:12.970160
16,51,159,11,2019-04-24 19:35:04.400103
2,29,167,11,2019-04-24 19:35:44.011956
14,39,111,11,2019-04-24 19:36:29.468443
10,39,175,11,2019-04-24 19:37:17.625805
16,42,167,11,2019-04-24 19:38:02.669096
11,41,111,11,2019-04-24 19:38:47.631445
16,46,135,11,2019-04-24 19:39:35.693397
16,46,111,11,2019-04-24 19:40:26.441600
8,39,167,11,2019-04-24 19:41:09.717124
16,40,199,11,2019-04-24 19:41:51.368958
12,42,199,11,2019-04-24 19:42:39.170452
17,44,167,11,2019-04-24 19:43:25.702975
16,42,103,11,2019-04-24 19:44:10.878649
16,48,127,11,2019-04-24 19:44:47.012570
16,49,103,11,2019-04-24 19:45:31.018877
19,49,167,11,2019-04-24 19:46:17.863457
22,50,191,11,2019-04-24 19:47:08.179819
26,48,143,11,2019-04-24 19:47:49.347760
14,45,159,11,2019-04-24 19:48:33.097912
21,50,127,11,2019-04-24 19:49:20.181949
12,41,191,11,2019-04-24 19:50:08.827712
16,53,183,11,2019-04-24 19:50:52.781518
27,55,119,11,2019-04-24 19:51:32.305832
23,45,95,11,2019-04-24 19:52:18.399717
23,51,175,11,2019-04-24 19:53:01.747300
26,55,151,11,2019-04-24 19:53:46.793461
12,37,143,11,2019-04-24 19:54:31.963395
22,53,143,11,2019-04-24 19:55:16.506645
17,49,167,9,2019-04-24 19:56:04.559404
11,40,167,9,2019-04-24 19:56:42.688254
16,42,95,8,2019-04-24 19:57:25.831465
23,42,191,11,2019-04-24 19:58:13.128125
19,49,175,10,2019-04-24 19:58:56.519689
4,28,127,11,2019-04-24 19:59:38.912168
27,53,111,11,2019-04-24 20:00:17.574001
29,53,191,11,2019-04-24 20:01:05.724058
18,39,87,11,2019-04-24 20:01:46.091033
26,54,143,11,2019-04-24 20:02:28.392734
15,47,167,11,2019-04-24 20:03:18.764412
19,50,127,11,2019-04-24 20:04:07.607606
41,69,159,11,2019-04-24 20:04:52.177668
29,54,127,11,2019-04-24 20:05:33.060526
27,53,127,11,2019-04-24 20:06:22.632401
13,42,159,11,2019-04-24 20:07:09.446236
37,64,167,11,2019-04-24 20:07:52.284995
33,65,175,11,2019-04-24 20:08:32.909517
10,34,119,7,2019-04-24 20:09:17.033868
42,71,159,11,2019-04-24 20:10:05.398748
41,67,127,11,2019-04-24 20:10:55.275006
36,65,143,11,2019-04-24 20:11:38.029465
30,65,119,11,2019-04-24 20:12:25.515912
30,71,135,11,2019-04-24 20:13:13.380950
44,68,135,11,2019-04-24 20:13:59.974580
19,48,95,10,2019-04-24 20:14:38.121768
30,55,167,11,2019-04-24 20:15:22.056021
25,49,79,11,2019-04-24 20:16:05.390066
42,68,151,11,2019-04-24 20:16:55.817112
33,54,159,11,2019-04-24 20:17:34.537521
35,66,119,11,2019-04-24 20:18:20.176137
20,49,199,11,2019-04-24 20:19:06.751181
34,57,167,11,2019-04-24 20:19:53.565411
28,49,175,11,2019-04-24 20:20:32.018919
21,53,199,11,2019-04-24 20:21:23.079480
21,46,167,11,2019-04-24 20:22:08.223690
43,75,167,11,2019-04-24 20:22:57.580550
45,71,143,11,2019-04-24 20:23:42.892002
42,72,119,11,2019-04-24 20:24:31.832995
21,44,159,11,2019-04-24 20:25:16.862342
22,50,183,11,2019-04-24 20:26:05.554834
18,62,159,11,2019-04-24 20:26:47.779798
28,59,175,11,2019-04-24 20:27:41.461784
51,70,127,11,2019-04-24 20:28:30.348094
28,67,167,11,2019-04-24 20:29:15.787354
33,63,111,11,2019-04-24 20:30:02.098996
12,49,183,11,2019-04-24 20:30:51.832141
